序号	英文	中文
71	abbr	缩写(abbreviation)
72	abbreviate	"v.缩写,缩短,简化,简写成,缩写为"
73	abbreviated	"adj.简短的,仅可蔽体的,小型的"
74	abbreviation	"n.缩写,缩写词"
75	abbreviationist	"n.提倡缩写字的人,惯用缩写字的人"
76	abbreviative	"adj.缩写的,缩略的"
77	abbreviator	n.缩写者
78	abbreviatory	"adj.缩写的,缩略的,省略的"
79	abby	n.艾比(Abigail 的昵称)(f.)
80	abc	"n.字母表,基本知识 美国广播公司 澳大利亚广播公司;automatic brightness control,自动亮度调节"
81	abcd	Accelerated Business Collection and Delivery (美国邮局采用的)加快收寄投递系统
82	abcoulomb	"n.C.G.S(厘米一克一秒)制的电荷单位,电磁库仑(1电磁库仑=10库仑)"
83	abd	n.准博士
84	abdias	n.=Obadiah
85	abdicable	"adj.可放弃的,可辞职的"
86	abdicant	n.退位者adj.逊位的
87	abdicate	"v.退位,放弃(职位,权力等)"
88	abdication	"n.退位,让位"
89	abdicator	"n.让位者,放弃者"
90	abdiel	n.神仆
91	abdomen	"n.腹,腹部"
92	abdominal	adj.腹部的
93	abdomino	" comb. form表示""腹(部)"""
94	abdominous	"adj.大肚子的,肥胖的"
95	abduce	"v.[生理]使外转,外展,把.引开"
96	abducens	"n.[解](=abducens nerve)外展神经,外展肌肉"
97	abducent	adj.向外扩展的
98	abduct	"vt.诱拐,绑架"
99	abduction	"n.诱拐,诱导"
100	abductor	n.诱拐者
101	abe	"n.亚伯,Abraham 的昵称"
102	abeam	adv.adj.与船的龙骨成直角
103	abecedarian	"n.初学者,学字母者adj.字母的,初步的"
104	abecedarium	"n.入门书,初级读物"
105	abed	"adv.在床上,卧病在床"
106	abednego	"n.[宗]亚伯尼歌(基督教<<圣经>>中被Nebuchadnezzar 俘获的三人之一,从烈火的炉中走出而未受伤)"
107	abegging	adj.[一般作表语] &adv.无人问津的(地)
108	abel	n.亚伯
109	abele	n.[植]银白杨(=white poplar)
110	abelmosk	n.[植]黄葵
111	abend	" 异常结束,异常终止"
112	abeokuta	 阿贝奥库塔[尼日利亚西南部城市]
113	aberdeenshire	 阿伯丁郡[英国苏格兰原郡名]
114	aberdevine	n.金翅雀(产于欧洲)
115	aberdonian	n.(苏格兰港市)阿伯丁人;adj.阿伯丁人的
116	aberglaube	n.<德>迷信
117	abernethy	n.硬饼干
118	aberrance	"n.脱离正道,越轨,反常,[生物]变异,畸变"
119	aberrancy	"n.脱离正道,偏离常轨,反常"
120	aberrant	adj.异常的
121	aberrated	adj.=aberrant
122	aberration	n.失常
123	abet	"vt.教唆,煽动,帮助,支持"
124	abetment	"n.教唆,煽动,帮助,支持"
125	abettal	n.=abetment
126	abetter	"n.教唆者,怂恿者"
127	abettor	n.教唆犯
128	abeyance	"n.暂时无效,中止,归属待定"
129	abeyant	"adj.中止的,暂时搁置的"
130	abfarad	n.C.G.S(厘米一克一秒)制电容量单位(等于十亿法拉)
131	abgrenzung	 <德>n.(主张将民主德国与联邦德国永久分离的) 分立政策
132	abhenry	n.[电]电磁亨(利)
133	abherent	"n.信徒,追随者,拥护者"
134	abhor	"vt.憎恶,痛恨"
135	abhorrence	"n.痛恨,憎恶"
136	abhorrent	"adj.可恶的,格格不入的"
137	abhorrer	"n.憎恶者,厌恶者"
138	abidance	"n.持续,遵守,居住"
139	abide	"vi.坚持,遵守;vt.忍受,容忍"
140	abiding	v.容忍;adj.持久的
141	abidingly	"adv.永久地,不变地"
142	abidjan	 阿比让[科特迪瓦首都]
143	abigail	n.(贵妇人的贴身)使女
144	ability	"n.能力,才干"
145	abiochemistry	"n.无机化学,无生化学"
146	abiogenesis	n.自然发生
147	abiogenetic	"adj.自然发生的,偶发的,自然发生论的;adj.[生]自然发生的,无生源说的"
148	abiogenist	"n.自然发生论者,偶发论者"
149	abiogeny	"n.(=abiogenesis)自然发生,自然发生论"
150	abiological	adj.非生物的
151	abiosis	n.无生命
152	abiotic	"adj.无生命的,非生物的"
153	abiotrophy	"n.[医]营养性衰竭,生活力缺失"
154	abirritant	"adj.减轻刺激的,缓和的"
155	abirritate	"vt.减轻刺激,缓和"
156	abirritation	"n.镇痛作用,缓和作用"
157	abirritative	"adj.镇静的,消除紧张的"
158	abject	"adj.卑鄙的,可怜的"
159	abjection	"n.卑鄙,抛弃,驱逐,落魄"
160	abjective	"adj.不幸的,令人沮丧的"
161	abjectly	"adv.悲惨地,卑鄙地"
162	abjuration	"n.放弃,发誓断绝"
163	abjure	"vt.发誓放弃,避免,公开放弃"
164	abkhazian	"n.阿布哈西亚人,阿布哈西亚语;adj.阿布哈西亚的"
165	ablactate	v.使断奶
166	ablactation	n.断奶
167	ablare	"adj.喧闹的;adv.喧哗地,吵闹地"
168	ablastin	n.[生]抑殖素
169	ablate	v.融化
170	ablation	"n.消融,切除"
171	ablatival	adj.离格的
172	ablative	adj.离格的;n.离格
173	ablator	"n.[空]烧蚀挡板(太空船外部的防热物质),烧灼体,烧灼材料"
174	ablaut	n.[语音]元音变换
175	ablaze	"adj.adv.着火的,激动的,闪耀的"
176	able	"adj.能...的,有才能的,能干的,能够的"
177	ablebodied	"adj.强壮的,强健的"
178	ablegate	"n.天主教教宗为某特殊任务而派遣外地之特使,罗马教皇特使"
179	ablepharous	adj.[医]没有眼睑的(畸形)
180	ablepsia	"n.[医](=ablepsy)失明,视觉缺失"
181	ablins	"adv.<苏>也许,大概"
182	abloom	adv.开花;adj.开花的
183	abluent	n.洗洁剂;adj.洗净的
184	ablush	adj.(因羞愧、窘迫等而)脸红的adv.脸红
185	abluted	"adj.被洗净的,被冲洗掉的"
186	ablution	n.清洗
187	ablutionary	"adj.沐浴的,洗礼的"
188	ably	"adv.能干地,巧妙地"
189	abm	" [军] AntiBallistic Missile,反弹道导弹; Asynchronous Balanced Mode 异步对称模式"
190	abmigration	n.反常迁徙(指去秋不曾南飞候鸟今夏的北飞)
191	abn	airborne
192	abnaki	"n.(北美印第安)阿布纳基族,阿布纳基人(语)"
193	abnegate	v.放弃
194	abnegation	n.放弃
195	abnegator	"n.拒绝者,放弃者"
196	abnormal	"adj.反常的,变态的"
197	abnormalcy	"n.(=abnormality)反常,畸形"
198	abnormalism	"n.变态性,反常性"
199	abnormality	"n.变态n.畸形,异常性"
200	abnormity	"n.异常,不规则,异形"
201	abo	"adj.<澳> (=aborigine) 土佬(对澳洲土著的蔑称)的 (Abo)adj.(AuE) 当地的,土著的,土著居民的"
202	aboard	"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)"
203	aboardage	n.两船接近于平行时的相撞
204	abode	"n.住所,住处"
205	abohm	"n.绝对欧姆(亦称作:电磁欧姆,等于十亿分之一欧姆)"
206	aboideau	"n.低地防潮之堤坝,水闸"
207	aboil	"adj.沸腾的,激烈的;adv.沸腾着"
208	aboiteau	n.=aboideau
209	abolish	"vt.废止,废除(法律、制度、习俗等)"
210	abolishable	"adj.可废止的,可取消的"
211	abolisher	n.废除者
212	abolishment	"n.废止,革除,取消"
213	abolition	"n.废除, 废除奴隶制度"
214	abolitionism	"n.废除主义,废奴主义"
215	abolitionist	"n.废除主义者,废奴主义者"
216	abolitionize	v.使赞成废除黑奴制度
217	abomasum	n.皱胃(反刍动物胃的第四部分)
218	abominable	"adj.讨厌的,令人憎恶的"
219	abominably	"adv.可恶地,可恨地,极端地"
220	abominate	"vt.痛恨,憎恶"
221	abomination	"n.憎恨,厌恶,可憎的事物"
222	abominator	"n.憎恶者,嫌恶者"
223	aborad	"adv.离口侧,对口侧"
224	aboral	"adj.离口的,对口的"
225	aborally	"adv.离口地,对口地"
226	aborative	"adj.仔细的,精心的,煞费苦心的"
227	aboriginal	"adj.土著的,原来的n.土著居民"
228	aboriginality	"n.原始状态,本土性"
229	aboriginally	"adv.从最初,原来"
230	aborigines	"n.土著,原居民,(Aborigines)澳大利亚土著居民,(pl.)土生动物(或植物)群"
231	aborning	adj.产生中的
232	abort	"vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务]"
233	abortarium	n.<美>堕胎医院
234	aborted	"adj.流产的,失败的"
235	aborticide	"n.[医]堕胎,堕胎药"
236	abortifacient	n.[医]堕胎药;adj.堕胎的
237	abortion	"n.流产,堕胎,失败,夭折,中止,早产"
238	abortionism	"n.有权流产主义,对流产权的支持"
239	abortionist	n.(尤指非法)为人堕胎者
240	abortive	"adj.早产的,流产的,失败的;adj.夭折的,异常终止的,中断的"
241	abortively	"adv.流产地,失败地"
242	abortus	n.流产胎
243	abought	 vbl.abye的过去式及过去分词
244	aboulia	n.意志力丧失
245	abound	"vi.多,大量存在,富于,充满"
246	abounding	"adj.丰富的,大量的"
247	about	"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于"
248	above	"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
249	aboveboard	adj.光明正大的
250	aboveground	"adv.在地上,未被埋葬地,活着"
251	abovestairs	"n.主卧房,楼上房间;adj.在楼上的adv.在楼上"
252	abracadabra	"n.咒语,胡言乱语"
253	abradant	adj.摩擦着的;n.磨蚀剂
254	abrade	"v.磨损,摩擦,折磨"
255	abrader	"n.磨石,研磨器"
256	abraham	n.[圣经]亚伯拉罕(相传为希伯来人的始祖)
257	abram	n.艾布拉姆(Abraham 的异体) (m.)
258	abranchial	"adj.[动] 无鳃的,无鳃类的"
259	abranchiate	n.[动]无鳃动物
260	abrase	"v.(=abrade)磨损,擦去"
261	abraser	"n.(=abrader)磨石,研磨器"
262	abrasion	n.磨损
263	abrasive	n.研磨剂;adj.研磨的
264	abraxas	"n.古时刻在玉石上避邪的文字,刻有这种符的玉石"
265	abrazo	 <西>n.(尤指表示欢迎的)拥抱
266	abreact	"vt.使消散,发泄(被压抑的情感等)"
267	abreaction	"n.消散,(情感,情绪等的)发泄"
268	abreast	"adv.并肩地,并排地"
269	abri	"n.避难所,防空洞"
270	abridgable	adj.(=abridgeable)可以删节的
271	abridge	"v.删节,削减,精简"
272	abridged	"adj.削减的,删节的"
273	abridgement	"n.删节,缩短,删节本"
274	abridgment	"n.删节,节略,删节本"
275	abrim	adv.充满着
276	abroach	adv.开个口使水流出;adj.开口的
277	abroad	"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
278	abrogate	"vt.废除,取消"
279	abrogation	"n.废除,取消"
280	abrupt	"adj.突然的,陡峭的,生硬的"
281	abruption	"n.分裂,分离"
282	abruptly	"adv.突然地,唐突地"
283	abruptness	"n.突然,唐突,(举止,言谈等的)粗鲁无理"
284	abscess	"n.脓肿,砂眼"
285	abscessed	adj.长脓疮的
286	abscind	"vt.切断,切除,割断"
287	abscise	"vt.切除vi.被切除,脱离"
288	abscisin	"n.[生化]脱落素,离层素"
289	abscissa	n.横坐标
290	abscission	"n.切断,除去"
291	abscond	"vi.潜逃,避债"
292	abscondee	潜逃者
293	abscondence	"n.逃亡,失踪"
294	abseil	n.(登山运动中的)沿绳滑下法
295	absence	"n.不在,缺席,缺乏,没有"
296	absent	"adj.不在的,缺席的,缺少的;vt.缺席"
297	absentation	n.缺席
298	absentee	"n.缺席者,未上班者"
299	absenteeism	"n.旷课,旷工"
300	absently	"adv.心不在焉地,茫然地"
301	absentminded	"adj.心不在焉的,茫然的,恍惚的"
302	absentmindedly	adv.茫然地
303	absinth	n.苦艾酒
304	absinthe	"n.苦艾酒,[植]苦艾"
305	absinthin	n.苦艾素
306	absinthine	adj.像苦艾的
307	absinthism	n.[医]苦艾酒中毒
308	absinthium	"n.[植]苦艾,苦艾油"
309	abskize	"v.逃亡,逃脱"
310	absolute	"adj.完全的,绝对的"
311	absolutely	"adv.完全地,绝对地"
312	absoluteness	"n.绝对,无限制"
313	absolution	"n.免罪,赦免"
314	absolutism	"n.专制主义,绝对论"
315	absolutist	"n.专制主义者,专制政治论者,绝对论者"
316	absolutization	n.绝对化
317	absolutize	"v.使...绝对化,使...变成绝对的"
318	absolutory	"adj.给予赦免的,给予宽恕的"
319	absolvable	adj.可赦免的
320	absolve	v.宣布免除
321	absolvent	adj.赦免的
322	absonant	"adj.不协调的,不和谐的"
323	absorb	"vt.吸收,吸引"
324	absorbability	"n.吸收,可吸收性"
325	absorbable	"adj.可吸收的,容易被吸收的"
326	absorbance	n.[植、化]吸光率
327	absorbant	adj.=absorbent
328	absorbate	n.被吸收的物质
329	absorbed	"adj.全神贯注的,一心一意的"
330	absorbedly	adv.专心致志地
331	absorbefacient	adj.吸收性的;n.吸收剂
332	absorbency	"n.吸收性,吸光度;n.吸收性,吸收能力,[物][化]吸光率(度)"
333	absorbent	adj.能吸收的;n.吸收剂
334	absorber	"n.吸收者,吸收体,减震器"
335	absorberman	n.管理吸收器的人
336	absorbing	"adj.吸引人的,非常有趣的"
337	absorbingly	"adv.引人入胜地,非常有趣地"
338	absord	n.吸收
339	absorptance	n.[物]吸收比
340	absorptiometer	"n.吸收计,吸收测定器,溶气汁,调稠器"
341	absorption	n.吸收
342	absorptive	"adj.吸收性的,有吸收力的"
343	absorptivity	"n.[物][化]吸收率,吸收性"
344	absquatulate	"vi.逃走,溜脱,开小差"
345	absquatulater	n.开小差者
346	absquatulation	n.开小差
347	abstain	"v.禁绝,放弃"
348	abstainer	"n.节制者,戒酒者,弃权者"
349	abstemious	"adj.有节制的,节约的"
350	abstemiously	"adv.有节制地,适度地"
351	abstention	n.节制
352	abstentious	adj.有节制的
353	absterge	"vt.去垢,擦去"
354	abstergent	adj.去垢的;n.洗洁剂
355	abstersion	n.洗涤
356	abstersive	"adj.使洁净的,去垢的"
357	abstinence	"n.节制,节欲,戒酒"
358	abstinency	"n.禁欲,(在饮食、享乐方面)自制"
359	abstinent	"adj.饮食有度的,有节制的,禁欲的;n.禁欲者"
360	abstract	"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
361	abstracted	"adj.心不在焉的,出神的"
362	abstraction	n.提取
363	abstractionism	n.抽象派艺术
364	abstractionist	n.抽象派艺术家
365	abstractive	"adj.具有抽象能力的,摘要式的"
366	abstractively	"adv.抽象地,抽象性地"
367	abstractly	"adv.抽象地,理论上地"
368	abstriction	n.[植]缢离作用
369	abstruse	"adj.奥妙的,深奥的"
370	abstrusely	"adv.难解地,深奥地"
371	abstruseness	"n.难解,深奥"
372	abstrusity	"n.难解,深奥"
373	absurd	"adj.荒谬的,可笑的"
374	absurdism	n.荒诞主义
375	absurdist	n.荒诞主义者
376	absurdity	"n.荒谬,谬论"
377	absurdly	"adv.荒谬地, 悖理地, 愚蠢地"
378	absurdness	"n.荒谬,愚蠢"
379	abu	"Asian Broadcast Union,亚洲广播联盟"
380	abuilding	adj.在建造中的
381	abulia	n.意志力丧失
382	abuliding	"adj.酝酿中的,兴建中的"
383	abundance	"n.丰富,充裕,丰富充裕"
384	abundant	"adj.丰富的,充裕的,丰富,盛产,富于"
385	abundantly	adv.丰富地
386	abusage	"n.文字的滥用,不合习惯或语法的语言文学"
387	abuse	"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
388	abusive	"adj.辱骂的,滥用的"
389	abusively	"adv.咒骂地,滥用地"
390	abusiveness	"n.咒骂,滥用"
391	abustle	"adj.忙碌的,熙来攘往的"
392	abut	"v.邻接,毗邻"
393	abutilon	n.白麻属植物
394	abutment	"n.邻接,桥礅"
395	abuttal	"n.邻接,毗连"
396	abuttals	n.地界
397	abutter	n.相邻房地产的业主
398	abutting	adj.邻接的
399	abuzz	"adj.嗡嗡的,嘁嘁喳喳的,活泼的"
400	abvolt	n.C.G.S(厘米一克一秒)制的电位差单位(等于1亿分之一伏特)
401	abwatt	n.[电]电磁瓦(特)
402	abweber	n.=maxwell
403	abwehr	 <德>n.(第二次世界大战期间纳粹德国的)反间谍机关
404	aby	"v.赎(罪),偿"
405	abye	"v.赎(罪),偿"
406	abysm	"n.深渊,无底洞"
407	abysmal	"adj.深不可测的,无底的"
408	abyss	n.深渊
409	abyssal	"adj.深渊的,深海的"
410	abyssalbenthic	adj.(=abyssobenthic)深海海底的
411	abyssalpelagic	adj.(=abyssopelagic)深海水域的
412	abyssinia	"n.阿比西尼亚(非洲东部国家,首都Addis Ababa)"
413	abyssinian	"adj.阿比西尼亚的n.阿比西尼亚人,依索比亚人"
414	abyssopelagic	adj.[海洋]深渊的
415	ac	"Alternating Current,交流电;Armored Car,装甲车 交流(电n.[化] 锕 `eIsi:`di:si:/交直流两用"
416	aca	Associate of the Institute of Chartered Accountants(英国) 特许会计师学会准会员
417	acacia	n.阿拉伯树胶
418	academe	"n.研究院,学会(=academy),学术界,学院"
419	academese	"n.学术行话 学术体,学术文章的风格"
420	academgorodok	 <俄>n.(苏联的) 科学城 (在西伯利亚)
421	academia	"n.学术界,学术环境"
422	academic	"adj.学院的,理论的"
423	academical	n.大学制服
424	academically	"adv.学术上,学理上"
425	academicals	n.大学制服
426	academician	"n.学会会员,院士,大学生,学者"
427	academicism	"n.艺术院的作风,形成主义"
428	academism	"n.(=academicism)学院派,学院风气"
429	academize	v.使...成为刻板传统的
430	academy	"n.(高等)专科院校,研究院,学会,学术团体,学院"
431	acadian	"adj.阿卡迪亚的,阿卡迪亚人的"
432	acajou	"n.[植]桃花心木,腰果"
433	acalculia	n.[医]计算力缺失
434	acaleph	n.[动]水母
435	acalephe	n.[动](=acaleph)水母
436	acalycine	adj.无花萼的
437	acalycinous	adj.[植](=acalycine)无花萼的
438	acantha	"n.脊椎,刺"
439	acanthaster	n.[动] 刺冠海星
440	acanthi	 acanthus的复数
441	acanthocephalan	"n.棘头虫,棘头纲虫"
442	acanthoid	"adj.棘状的,刺状的"
443	acanthopterygian	n.棘鳍类的鱼adj.棘鳍类的
444	acanthous	adj.=acanthoid
445	acanthus	n.[建]叶形的装饰板
446	acapnia	n.血液二氧化碳缺乏
447	acapriccio	" <意>[音]随意地,自由地[字面意义:at will]"
448	acapulco	 阿卡普尔科[墨西哥南部港市]
449	acardia	n.<希> [医] 无心畸形
450	acardiac	adj.<希> [医] 无心畸形的
451	acari	 acarus的复数
452	acariasis	"n.疥癣,疥虫病"
453	acaridan	n.&adj.=acarid
454	acarine	n.&adj.=acarid
455	acarpellous	adj.[植](花)无心皮的
456	acarpelous	adj.[植](花)无心皮的
457	acarpous	"adj.[植]不结果的,无果实的"
458	acatalasemia	"n.[医]无触酶血,缺过氧化氢酶血"
459	acatalasia	"n.[医]无触酶症,过氧化氢酶缺乏症"
460	acatalectic	adj.(诗行)音节数完整的
461	acataleptic	"adj.不能理解的,不可知的"
462	acathisia	n.=akathisia
463	acaudal	adj.[动]无尾的
464	acaudate	adj.[动]没有尾巴的
465	acaulescent	adj.[植]无茎的
466	accadian	adj.&n.=Akkadian
467	accede	"v.同意,加入,同意"
468	accelerando	adj.[乐]渐速的adv.[乐]渐速地n.[乐]渐速音
469	accelerant	n.促进剂
470	accelerate	"v.加速,促进"
471	accelerated	adj.加速的
472	acceleration	n.加速度
473	accelerative	"adj.加速的,催促的"
474	accelerator	"n.加速者,加速器"
475	acceleratory	"adj.(=accelerative)加速的,催促的"
476	accelerogram	n.(显示地震中颤动加速度的)加速度图
477	accelerograph	"n.自记加速计加速者,加速器,油门"
478	accelerometer	n.加速计
479	accent	"n.重音,口音,重音符"
480	accentor	"n.鸣禽,领唱者"
481	accentual	"adj.重音的,有抑扬的"
482	accentuate	"v.重读,强调,着重强调"
483	accentuation	"n.重读,强调"
484	accentuator	"n.着重者,强调者"
485	accept	"vt.接受,认可,承担,承兑vi.同意,承认"
486	acceptability	n.可接受性
487	acceptable	"adj.可接受的,合意的"
488	acceptably	adv.可以接受地
489	acceptance	"n.接受,承诺,容忍,赞同,相信"
490	acceptant	adj.容易接受的
491	acceptation	n.意义
492	accepted	"adj.一般承认的,公认的"
493	acceptee	n.被接受的人
494	accepter	"n.接受人,承诺人"
495	acceptive	"adj.易接纳的,可领受的"
496	acceptor	"n.接受者,接收器"
497	access	"n.通路,访问,入门vt.存取,接近"
498	accessable	adj.可接近的
499	accessary	"n.[律]同谋,帮凶,从犯adj.同谋的,帮凶的"
500	accessibility	"n.易接近,可到达的"
501	accessible	"adj.易接近的,可到达的,易受影响的,可理解的"
502	accessibly	"adv.可接近地,可亲地,"
503	accessing	访问
504	accession	"n.就职,就任,添加,增加"
505	accessional	adj.附加的 另外的
506	accessit	n.(英国及法国学校中颁给学生的)二等奖(状)
507	accessorial	"adj.附属的,辅助的,增加的,补充的"
508	accessories	n.[计] 附件
509	accessorily	"adv.附从地,附属地"
510	accessorius	"n.[解]副神经,副肌,副腺"
511	accessorize	"vt.装饰,补充vi.穿戴装饰品"
512	accessory	"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
513	acciaccatura	n.<意>[音]短倚音
514	accidence	n.入门
515	accident	"n.意外事件,事故"
516	accidental	"adj.意外的,非主要的,附属的n.非本质属性,次要方面"
517	accidentalism	"n.偶然,无意"
518	accidentalist	n.偶然论者adj.偶然论的
519	accidentally	"adv.偶然地,意外地"
520	accidented	adj.凹凸不平坦的
521	accidently	adv.=accidentally
522	accidentproof	adj.(用具或器具等)可防止意外或减少意外机会的
523	accidie	"n.倦怠,漠然"
524	accipiter	"n.鹰类,猛禽"
525	accipitral	"adj.鹰的,鹰似的,贪婪凶猛的"
526	acclaim	"n.喝彩,欢呼v.欢呼,称赞"
527	acclamation	"n.欢呼,喝彩,(以欢呼、鼓掌等表示的)拥护,赞成"
528	acclamatory	"adj.欢呼的,喝彩的"
529	acclimate	"vt.使适应新环境,使服水土vi.服水土,适应"
530	acclimation	"n.服水土,顺应,适应环境"
531	acclimatise	v.<主英>=acclimatize
532	acclimatization	n.环境适应性
533	acclimatize	"vt.使适应(或习惯)新环境(或气候等),使服水土"
534	acclivitous	"adj.倾斜的,上斜的"
535	acclivity	n.[地]向上的斜坡
536	acclivous	adj.向上斜的
537	accolade	"n.赞美,骑士爵位的授予,连谱号"
538	accommodable	"adj.可适合的,可适应的"
539	accommodate	"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
540	accommodating	"adj.乐于助人的,随和的,善于适应新环境的"
541	accommodation	"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
542	accommodationist	"n.妥协者adj.妥协的,迁就的"
543	accommodative	adj.=accommodating
544	accommodator	n.调解人
545	accomodate	"v.容纳,留宿,使...适应"
546	accompanier	"n.(=accompanist)同伴,伴唱者"
547	accompaniment	"n.陪伴物,伴奏"
548	accompanist	n.伴奏者
549	accompany	"vt.陪伴,伴奏"
550	accompanying	"adj.陪伴的,附随的"
551	accompanyist	"n.随伴者,伴奏者"
552	accomplice	"n.同谋者,帮凶"
553	accomplish	"vt.完成,达到,实现"
554	accomplishable	"adj.可达成的,可完成的"
555	accomplished	"adj.完成的,熟练的,多才多艺的"
556	accomplishment	 ns//n.造诣
557	accompt	"n.,v.<古>=account"
558	accord	"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
559	accordable	n.可一致的
560	accordance	"n.一致,和谐"
561	accordancy	"n.(=accord)调和,意向"
562	accordant	adj.一致的
563	accordatura	n.[乐]基调
564	according	adv.依照
565	accordingly	"adv.因此,从而"
566	accordion	n.手风琴adj.可折叠的
567	accordionist	n.手风琴师
568	accost	"vt.对...说话,搭话"
569	accostable	adj.易接近的
570	accouche	v.接生
571	accouchement	"n.<法>分娩,生产"
572	accoucheur	"n.<法>男助产士,产科男医师"
573	accoucheuse	"n.<法>女助产士,产科女医师"
574	account	"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
575	accountability	"n.有责任,有义务,可说明性"
576	accountable	"adj.应负责的,有责任的,可解释的"
577	accountably	"adv.可辩解地,可说明地"
578	accountancy	"n.会计师之职,会计学"
579	accountant	"n.会计(员),会计师"
580	accountantship	n.会计职务
581	accounting	"n.会计学,清算帐目"
582	accounts	"帐目,帐号"
583	accouplement	"n.[建]对柱,成双构件,[木工]系木"
584	accouter	"vt.供以服装,供以军用品,装备"
585	accouterment	"n.穿着,配备,饰物"
586	accouterments	"n.军人的配备,服装"
587	accoutre	"vt.供以服装,供以军用品,装备"
588	accoutrement	"n.(=accouterment)穿着,配备"
589	accoutrements	"n.军人的配备,服装"
590	accra	n.阿克拉(加纳的首都)
591	accredit	"vt.信任,授权,归于"
